Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-10-16,"Multi grain hot cereal","1.00 cup",140.95,0.00,0.00,247.69,0.31,0.00,0.11,2.00,0.47,0.18,33.73,15.00,0.00,0.00,0.26,1.15,32.85,0.42,1.92,85.96,1.43,180.38,298.94,16.06,315.87,1.25,29.07,6.07,20.97,1.29,1.12,0.00,0.25,0.03,0.45,0.48,0.18,0.00,0.14,0.17,0.28,0.52,0.32,0.11,0.33,6.69,0.25,0.10,0.22,0.33
2016-10-16,"Granola, homemade","0.40 cup, whole pieces",207.90,0.17,0.00,5.77,0.22,0.01,0.08,0.92,0.34,0.12,41.60,163.85,0.39,0.00,2.75,4.92,20.47,0.22,1.54,58.89,1.66,159.94,168.23,11.31,51.82,1.53,26.25,3.11,10.37,12.82,10.25,0.00,3.06,0.16,3.00,3.16,3.32,0.21,0.13,0.12,0.19,0.35,0.24,0.10,0.23,4.80,0.17,0.07,0.15,0.26
2016-10-16,"Milk, whole","1.00 cup",148.84,0.00,0.00,215.03,0.11,1.10,0.41,0.22,0.91,0.09,12.20,395.27,0.00,124.44,0.17,0.73,275.71,0.06,0.07,24.40,0.01,204.95,322.07,9.03,104.92,0.90,11.71,0.00,0.00,12.32,7.93,24.40,1.98,0.18,0.29,0.48,4.55,0.28,0.05,0.23,0.40,0.73,0.64,0.20,0.40,7.69,0.33,0.10,0.39,0.50
2016-10-16,"Rye bread","3.00 medium slice - 4"" x 4"" x 1/2""",248.64,0.00,0.00,35.81,0.42,0.00,0.32,3.65,0.42,0.07,105.60,6.72,0.38,0.00,0.32,1.15,70.08,0.18,2.72,38.40,0.79,120.00,159.36,29.66,578.88,1.09,46.37,4.28,40.32,3.70,3.17,0.00,1.26,0.04,0.71,0.77,0.60,0.12,0.17,0.17,0.31,0.56,0.22,0.13,0.39,8.16,0.24,0.09,0.20,0.36
2016-10-16,"Nutella","1.00 Serving",200.00,,,,,,,,,,,,,,,,40.00,,0.72,,,,,,,,22.00,1.00,,21.00,11.00,,,,,,3.50,,,,,,,,,3.00,,,,
2016-10-16,"Radish, raw","1.00 cup",29.62,0.00,0.00,176.35,0.02,0.00,0.07,0.47,0.31,0.13,46.28,12.96,27.40,0.00,0.00,2.59,46.28,0.09,0.63,18.51,0.13,37.02,431.29,1.11,72.19,0.52,6.29,2.96,0.00,3.44,0.19,0.00,0.03,0.06,0.03,0.09,0.06,0.00,0.02,0.02,0.04,0.06,0.06,0.02,0.07,1.26,0.04,0.02,0.02,0.06
2016-10-16,"Planet Sub, sandwich, submarine, tofu, 6""","1.50 Each",223.50,0.00,,,,,,,,,,,,,,,,,,,,,,,663.00,,10.50,4.50,4.50,1.50,15.00,0.00,6.00,,,1.50,1.50,0.00,,,,,,,,9.00,,,,
2016-10-17,"Tap water","1.00 cup",0.00,0.00,0.00,236.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,0.02,0.00,2.37,0.00,0.00,0.00,0.00,9.48,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-17,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-10-17,"Vegetable soup, plain, homemade","1.00 cup",96.93,0.00,0.00,253.08,0.26,0.00,0.10,1.41,0.61,0.29,52.98,2751.85,34.97,0.00,0.95,58.57,57.51,0.16,1.04,35.87,0.35,77.97,472.83,1.81,189.97,0.55,19.16,4.24,8.27,5.09,1.72,0.00,0.35,0.16,0.76,0.92,0.28,0.01,0.04,0.07,0.12,0.18,0.17,0.04,0.12,3.11,0.12,0.04,0.08,0.15
2016-10-17,"Vegetables, broccoli and cauliflower, frozen, boiled, drained","0.60 250ml",28.00,0.00,0.00,107.72,0.05,0.00,0.08,0.45,0.22,0.13,41.34,1412.86,41.70,0.00,0.81,65.54,39.88,0.04,0.60,16.98,0.28,46.28,186.32,1.47,24.54,0.25,5.32,2.93,0.93,1.45,0.19,0.00,0.01,,,0.09,0.03,0.00,0.02,0.05,0.11,0.14,0.14,0.03,0.09,2.76,0.09,0.03,0.06,0.13
2016-10-17,"Cake with fruit","1.70 cup",295.56,0.12,0.00,59.79,0.18,0.10,0.16,1.28,0.26,0.04,31.33,238.81,2.10,4.32,0.29,10.75,121.10,0.05,1.25,15.64,0.33,54.99,169.58,8.86,282.63,0.32,57.80,1.35,14.48,41.74,6.26,29.88,1.64,0.03,0.32,0.35,3.71,0.23,0.06,0.08,0.14,0.26,0.15,0.07,0.18,3.60,0.12,0.04,0.12,0.17
2016-10-17,"Chapati or roti bread (Indian bread)","1.70 large - 8"" diameter",252.05,0.00,0.00,29.96,0.28,0.00,0.09,2.81,0.34,0.23,24.93,5.10,0.00,0.00,0.95,13.43,19.90,0.23,2.05,77.75,2.31,202.29,205.75,38.10,263.38,1.47,40.78,6.06,32.74,0.23,8.13,0.00,1.69,0.50,4.04,4.54,1.30,0.04,0.16,0.20,0.25,0.51,0.20,0.13,0.39,7.49,0.21,0.10,0.16,0.32
2016-10-17,"Cauliflower, cooked from fresh","1.00 cup, cut pieces",28.52,0.00,0.00,115.32,0.05,0.00,0.06,0.51,0.63,0.21,54.56,14.88,54.93,0.00,0.09,17.11,19.84,0.02,0.40,11.16,0.16,39.68,176.09,0.74,18.60,0.21,5.10,2.85,0.20,2.58,0.56,0.00,0.04,0.21,0.06,0.27,0.09,0.00,0.03,0.05,0.09,0.13,0.12,0.03,0.08,2.28,0.08,0.03,0.05,0.11
2016-10-17,"Potato, boiled, with skin","0.50 large - 3"" to 4 1/4"" diameter",131.86,0.00,0.00,135.40,0.12,0.00,0.10,2.28,0.88,0.51,8.68,20.82,20.82,0.00,0.10,0.92,36.44,0.29,2.86,52.05,0.49,133.60,978.54,0.52,10.41,1.41,31.06,4.16,22.62,1.70,0.17,0.00,0.00,0.02,0.06,0.07,0.05,0.00,0.04,0.06,0.11,0.17,0.17,0.04,0.12,2.78,0.10,0.04,0.10,0.16
2016-10-18,"Tap water","3.00 cup",0.00,0.00,0.00,710.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.33,0.07,0.00,7.11,0.00,0.00,0.00,0.00,28.44,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-18,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-10-18,"Tomato soup, homemade","1.00 cup",133.79,0.00,0.00,209.28,0.08,0.04,0.11,1.57,0.29,0.19,22.66,1399.37,32.48,4.59,2.30,15.98,45.73,0.21,1.74,27.23,0.26,76.16,593.03,2.28,799.80,0.46,13.05,2.27,0.09,8.04,8.79,22.11,3.50,0.08,0.45,0.53,4.26,0.22,0.04,0.06,0.10,0.14,0.14,0.03,0.10,3.16,0.10,0.03,0.07,0.10
2016-10-18,"Vegetables, broccoli and cauliflower, frozen, boiled, drained","1.00 250ml",46.66,0.00,0.00,179.53,0.09,0.00,0.13,0.75,0.36,0.21,68.90,2354.76,69.50,0.00,1.36,109.23,66.47,0.07,0.99,28.31,0.46,77.13,310.54,2.44,40.89,0.42,8.86,4.89,1.55,2.42,0.32,0.00,0.02,,,0.15,0.05,0.00,0.04,0.09,0.18,0.23,0.24,0.06,0.15,4.59,0.16,0.05,0.10,0.22
2016-10-18,"Wheat bread","1.50 large slice - 4 1/2"" x 4 1/4"" x 1/2""",172.22,0.00,0.00,22.70,0.27,0.00,0.16,3.62,0.53,0.07,54.82,1.29,0.13,0.00,0.12,3.16,85.79,0.10,2.25,29.03,0.76,96.10,114.16,18.58,327.66,0.77,31.40,2.58,23.23,3.81,2.09,0.00,0.39,0.09,0.88,0.97,0.50,0.02,0.08,0.08,0.14,0.25,0.12,0.06,0.17,6.91,0.11,0.05,0.09,0.17
2016-10-18,"Butter, unsalted","0.50 tbsp",50.86,0.00,0.00,1.27,0.00,0.01,0.00,0.00,0.01,0.00,0.21,177.27,0.00,0.73,0.16,0.50,1.70,0.00,0.00,0.14,0.00,1.70,1.70,0.07,0.78,0.01,0.00,0.00,0.00,0.00,5.75,15.25,1.66,0.02,0.13,0.21,3.58,0.23,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00
2016-10-18,"Millet, cooked","1.00 cup",207.06,,,124.25,0.18,,0.14,2.31,0.30,0.19,33.06,5.22,,,0.03,0.52,5.22,0.28,1.10,76.56,0.47,174.00,107.88,1.57,3.48,1.58,41.19,2.26,38.70,0.23,1.74,,0.32,0.05,0.84,0.88,0.30,,0.12,0.13,0.26,0.78,0.12,0.12,0.32,6.11,0.20,0.07,0.19,0.32
2016-10-18,"Mustard greens, cooked, boiled, drained, with salt","1.00 cup, chopped",36.40,,,128.49,0.06,,0.09,0.61,0.17,0.14,12.60,14751.80,35.42,,2.49,829.78,165.20,0.14,1.22,18.20,,58.80,226.80,0.84,352.80,0.21,6.31,2.80,1.54,1.97,0.66,,0.15,0.03,0.03,0.06,0.02,,,,,,,,,3.58,,,,
2016-10-18,"Rye bread","1.00 medium slice - 4"" x 4"" x 1/2""",82.88,0.00,0.00,11.94,0.14,0.00,0.11,1.22,0.14,0.02,35.20,2.24,0.13,0.00,0.11,0.38,23.36,0.06,0.91,12.80,0.26,40.00,53.12,9.89,192.96,0.36,15.46,1.43,13.44,1.23,1.06,0.00,0.42,0.01,0.24,0.26,0.20,0.04,0.06,0.06,0.10,0.19,0.07,0.04,0.13,2.72,0.08,0.03,0.07,0.12
2016-10-18,"Nutella","0.30 Serving",60.00,,,,,,,,,,,,,,,,12.00,,0.22,,,,,,,,6.60,0.30,,6.30,3.30,,,,,,1.05,,,,,,,,,0.90,,,,
2016-10-19,"Tap water","1.00 cup",0.00,0.00,0.00,236.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,0.02,0.00,2.37,0.00,0.00,0.00,0.00,9.48,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-19,"Biscuit, homemade","1.60 small - 2"" diameter",193.72,0.00,0.00,17.60,0.20,0.09,0.15,1.49,0.17,0.02,32.75,31.00,0.03,7.99,0.10,4.51,104.30,0.04,1.32,7.66,0.17,72.13,74.54,8.87,213.05,0.25,21.13,0.76,18.59,1.72,10.80,1.31,5.78,0.06,1.67,1.78,2.88,2.30,0.06,0.07,0.12,0.23,0.10,0.06,0.16,3.12,0.09,0.04,0.11,0.14
2016-10-19,"Jam or preserves","1.00 tbsp",55.60,0.00,0.00,6.09,0.00,0.00,0.02,0.01,0.00,0.00,2.20,0.00,1.76,0.00,0.02,0.00,4.00,0.02,0.10,0.80,0.01,3.80,15.40,0.40,6.40,0.01,13.77,0.22,0.00,9.78,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00
2016-10-19,"Half and half","2.00 tsp",13.11,0.00,0.00,8.12,0.00,0.03,0.02,0.01,0.03,0.00,0.30,35.70,0.09,0.81,0.03,0.13,10.59,0.00,0.01,1.01,0.00,9.58,13.11,0.18,4.13,0.05,0.43,0.00,0.00,0.43,1.16,3.73,0.33,0.02,0.03,0.04,0.72,0.04,0.00,0.01,0.02,0.03,0.02,0.01,0.01,0.30,0.01,0.00,0.01,0.02
2016-10-19,"Butter, unsalted","0.50 tbsp",50.86,0.00,0.00,1.27,0.00,0.01,0.00,0.00,0.01,0.00,0.21,177.27,0.00,0.73,0.16,0.50,1.70,0.00,0.00,0.14,0.00,1.70,1.70,0.07,0.78,0.01,0.00,0.00,0.00,0.00,5.75,15.25,1.66,0.02,0.13,0.21,3.58,0.23,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00
2016-10-19,"Chapati or roti bread (Indian bread)","2.00 large - 8"" diameter",296.53,0.00,0.00,35.24,0.33,0.00,0.11,3.30,0.40,0.27,29.33,6.00,0.00,0.00,1.12,15.80,23.41,0.27,2.41,91.47,2.71,237.99,242.05,44.82,309.86,1.73,47.98,7.13,38.51,0.27,9.57,0.00,1.99,0.59,4.76,5.34,1.52,0.04,0.18,0.24,0.30,0.60,0.24,0.15,0.45,8.81,0.24,0.12,0.18,0.38
2016-10-19,"Aloo gobi (potato and cauliflower)","1.00 cup",94.22,0.00,0.00,123.42,0.23,0.00,0.06,1.16,0.58,0.27,32.44,536.02,34.65,0.00,0.66,32.49,28.72,0.14,0.91,21.53,0.29,48.31,345.82,2.20,177.64,0.33,14.68,3.06,8.41,2.55,3.55,0.00,0.78,0.30,1.67,1.97,0.56,0.02,0.03,0.04,0.08,0.12,0.12,0.03,0.08,2.29,0.08,0.03,0.06,0.10
2016-10-19,"Yogurt, plain, whole milk","1.00 cup",149.45,0.00,0.00,215.36,0.07,0.91,0.35,0.18,0.95,0.08,17.15,242.55,1.23,4.90,0.21,0.51,296.46,0.02,0.12,29.40,0.01,232.75,379.76,5.39,112.70,1.45,11.42,0.00,0.00,11.42,7.96,31.85,2.19,0.07,0.16,0.23,5.14,0.17,0.08,0.21,0.46,0.86,0.76,0.25,0.46,8.50,0.35,0.05,0.43,0.70
2016-10-19,"Multi grain hot cereal","0.50 cup",70.48,0.00,0.00,123.85,0.15,0.00,0.05,1.00,0.24,0.09,16.86,7.50,0.00,0.00,0.13,0.58,16.43,0.21,0.96,42.98,0.71,90.19,149.47,8.03,157.94,0.63,14.53,3.03,10.48,0.65,0.56,0.00,0.12,0.02,0.22,0.24,0.09,0.00,0.07,0.08,0.14,0.26,0.16,0.05,0.17,3.34,0.12,0.05,0.11,0.17
2016-10-19,"Granola, homemade","0.20 cup, whole pieces",103.95,0.09,0.00,2.88,0.11,0.01,0.04,0.46,0.17,0.06,20.80,81.93,0.19,0.00,1.38,2.46,10.23,0.11,0.77,29.45,0.83,79.97,84.12,5.65,25.91,0.76,13.13,1.56,5.18,6.41,5.13,0.00,1.53,0.08,1.50,1.58,1.66,0.10,0.06,0.06,0.10,0.18,0.12,0.05,0.12,2.40,0.09,0.03,0.08,0.13
2016-10-19,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-10-20,"Tap water","1.00 cup",0.00,0.00,0.00,236.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,0.02,0.00,2.37,0.00,0.00,0.00,0.00,9.48,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-20,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-10-20,"Tomato soup, homemade","1.00 cup",133.79,0.00,0.00,209.28,0.08,0.04,0.11,1.57,0.29,0.19,22.66,1399.37,32.48,4.59,2.30,15.98,45.73,0.21,1.74,27.23,0.26,76.16,593.03,2.28,799.80,0.46,13.05,2.27,0.09,8.04,8.79,22.11,3.50,0.08,0.45,0.53,4.26,0.22,0.04,0.06,0.10,0.14,0.14,0.03,0.10,3.16,0.10,0.03,0.07,0.10
2016-10-20,"Vegetables, broccoli and cauliflower, frozen, boiled, drained","1.00 250ml",46.66,0.00,0.00,179.53,0.09,0.00,0.13,0.75,0.36,0.21,68.90,2354.76,69.50,0.00,1.36,109.23,66.47,0.07,0.99,28.31,0.46,77.13,310.54,2.44,40.89,0.42,8.86,4.89,1.55,2.42,0.32,0.00,0.02,,,0.15,0.05,0.00,0.04,0.09,0.18,0.23,0.24,0.06,0.15,4.59,0.16,0.05,0.10,0.22
2016-10-20,"Wheat bread","2.00 thin slice - 4 1/4"" x 4"" x 3/8""",106.80,0.00,0.00,14.08,0.17,0.00,0.10,2.25,0.33,0.04,34.00,0.80,0.08,0.00,0.08,1.96,53.20,0.06,1.40,18.00,0.47,59.60,70.80,11.52,203.20,0.48,19.47,1.60,14.41,2.36,1.30,0.00,0.24,0.05,0.54,0.60,0.31,0.01,0.05,0.05,0.09,0.16,0.07,0.04,0.11,4.29,0.07,0.03,0.06,0.10
2016-10-20,"Butter, unsalted","0.50 tbsp",50.86,0.00,0.00,1.27,0.00,0.01,0.00,0.00,0.01,0.00,0.21,177.27,0.00,0.73,0.16,0.50,1.70,0.00,0.00,0.14,0.00,1.70,1.70,0.07,0.78,0.01,0.00,0.00,0.00,0.00,5.75,15.25,1.66,0.02,0.13,0.21,3.58,0.23,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00
2016-10-20,"Half and half","2.00 tsp",13.11,0.00,0.00,8.12,0.00,0.03,0.02,0.01,0.03,0.00,0.30,35.70,0.09,0.81,0.03,0.13,10.59,0.00,0.01,1.01,0.00,9.58,13.11,0.18,4.13,0.05,0.43,0.00,0.00,0.43,1.16,3.73,0.33,0.02,0.03,0.04,0.72,0.04,0.00,0.01,0.02,0.03,0.02,0.01,0.01,0.30,0.01,0.00,0.01,0.02
2016-10-20,"Millet, cooked","1.00 cup",207.06,,,124.25,0.18,,0.14,2.31,0.30,0.19,33.06,5.22,,,0.03,0.52,5.22,0.28,1.10,76.56,0.47,174.00,107.88,1.57,3.48,1.58,41.19,2.26,38.70,0.23,1.74,,0.32,0.05,0.84,0.88,0.30,,0.12,0.13,0.26,0.78,0.12,0.12,0.32,6.11,0.20,0.07,0.19,0.32
2016-10-20,"Mustard greens, cooked, boiled, drained, with salt","1.00 cup, chopped",36.40,,,128.49,0.06,,0.09,0.61,0.17,0.14,12.60,14751.80,35.42,,2.49,829.78,165.20,0.14,1.22,18.20,,58.80,226.80,0.84,352.80,0.21,6.31,2.80,1.54,1.97,0.66,,0.15,0.03,0.03,0.06,0.02,,,,,,,,,3.58,,,,
2016-10-20,"Multi grain hot cereal","0.50 cup",70.48,0.00,0.00,123.85,0.15,0.00,0.05,1.00,0.24,0.09,16.86,7.50,0.00,0.00,0.13,0.58,16.43,0.21,0.96,42.98,0.71,90.19,149.47,8.03,157.94,0.63,14.53,3.03,10.48,0.65,0.56,0.00,0.12,0.02,0.22,0.24,0.09,0.00,0.07,0.08,0.14,0.26,0.16,0.05,0.17,3.34,0.12,0.05,0.11,0.17
2016-10-20,"Granola, homemade","0.15 cup, whole pieces",77.96,0.06,0.00,2.16,0.08,0.00,0.03,0.35,0.13,0.05,15.60,61.45,0.15,0.00,1.03,1.84,7.68,0.08,0.58,22.09,0.62,59.98,63.09,4.24,19.43,0.57,9.84,1.17,3.89,4.81,3.84,0.00,1.15,0.06,1.12,1.18,1.25,0.08,0.05,0.04,0.07,0.13,0.09,0.04,0.09,1.80,0.06,0.03,0.06,0.10
2016-10-20,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-10-21,"Tap water","1.00 cup",0.00,0.00,0.00,236.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,0.02,0.00,2.37,0.00,0.00,0.00,0.00,9.48,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-10-21,"Croissants, butter","1.00 croissant, medium",231.42,,,13.22,0.22,0.09,0.14,1.25,0.49,0.03,50.16,424.08,0.11,,0.48,1.03,21.09,0.05,1.16,9.12,0.19,59.85,67.26,12.94,266.19,0.43,26.11,1.48,18.21,6.42,11.97,38.19,3.15,0.17,0.45,0.62,6.65,,0.10,0.11,0.21,0.36,0.19,0.10,0.24,4.67,0.16,0.06,0.15,0.23
2016-10-21,"Guacamole (avocado dip)","1.00 tbsp",13.49,0.00,0.00,11.75,0.01,0.00,0.01,0.16,0.10,0.03,7.17,52.47,4.43,0.00,0.16,1.92,2.26,0.02,0.08,2.99,0.02,5.83,50.47,0.05,58.50,0.06,1.13,0.56,0.02,0.26,1.04,0.00,0.65,0.01,0.12,0.13,0.14,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.22,0.01,0.00,0.00,0.01
2016-10-21,"Wheat bread","1.00 thin slice - 4 1/4"" x 4"" x 3/8""",53.40,0.00,0.00,7.04,0.08,0.00,0.05,1.12,0.16,0.02,17.00,0.40,0.04,0.00,0.04,0.98,26.60,0.03,0.70,9.00,0.24,29.80,35.40,5.76,101.60,0.24,9.74,0.80,7.20,1.18,0.65,0.00,0.12,0.03,0.27,0.30,0.16,0.01,0.03,0.03,0.04,0.08,0.04,0.02,0.05,2.14,0.03,0.02,0.03,0.05
2016-10-21,"Nutella","0.50 Serving",100.00,,,,,,,,,,,,,,,,20.00,,0.36,,,,,,,,11.00,0.50,,10.50,5.50,,,,,,1.75,,,,,,,,,1.50,,,,
2016-10-21,"Chapati or roti bread (Indian bread)","1.50 large - 8"" diameter",222.40,0.00,0.00,26.43,0.25,0.00,0.08,2.48,0.30,0.20,22.00,4.50,0.00,0.00,0.84,11.85,17.56,0.21,1.80,68.60,2.03,178.49,181.54,33.62,232.40,1.30,35.98,5.35,28.88,0.21,7.18,0.00,1.49,0.44,3.57,4.01,1.14,0.03,0.14,0.18,0.22,0.45,0.18,0.11,0.34,6.61,0.18,0.09,0.14,0.28
2016-10-21,"Aloo gobi (potato and cauliflower)","1.00 cup",94.22,0.00,0.00,123.42,0.23,0.00,0.06,1.16,0.58,0.27,32.44,536.02,34.65,0.00,0.66,32.49,28.72,0.14,0.91,21.53,0.29,48.31,345.82,2.20,177.64,0.33,14.68,3.06,8.41,2.55,3.55,0.00,0.78,0.30,1.67,1.97,0.56,0.02,0.03,0.04,0.08,0.12,0.12,0.03,0.08,2.29,0.08,0.03,0.06,0.10
2016-10-21,"Multi grain hot cereal","0.40 cup",56.38,0.00,0.00,99.08,0.12,0.00,0.04,0.80,0.19,0.07,13.49,6.00,0.00,0.00,0.11,0.46,13.14,0.17,0.77,34.38,0.57,72.15,119.58,6.42,126.35,0.50,11.63,2.43,8.39,0.52,0.45,0.00,0.10,0.01,0.18,0.19,0.07,0.00,0.06,0.07,0.11,0.21,0.13,0.04,0.13,2.68,0.10,0.04,0.09,0.13
2016-10-21,"Granola, homemade","0.20 cup, whole pieces",103.95,0.09,0.00,2.88,0.11,0.01,0.04,0.46,0.17,0.06,20.80,81.93,0.19,0.00,1.38,2.46,10.23,0.11,0.77,29.45,0.83,79.97,84.12,5.65,25.91,0.76,13.13,1.56,5.18,6.41,5.13,0.00,1.53,0.08,1.50,1.58,1.66,0.10,0.06,0.06,0.10,0.18,0.12,0.05,0.12,2.40,0.09,0.03,0.08,0.13
2016-10-21,"Milk, whole","1.00 cup",148.84,0.00,0.00,215.03,0.11,1.10,0.41,0.22,0.91,0.09,12.20,395.27,0.00,124.44,0.17,0.73,275.71,0.06,0.07,24.40,0.01,204.95,322.07,9.03,104.92,0.90,11.71,0.00,0.00,12.32,7.93,24.40,1.98,0.18,0.29,0.48,4.55,0.28,0.05,0.23,0.40,0.73,0.64,0.20,0.40,7.69,0.33,0.10,0.39,0.50
2016-10-21,"Falafel, made with barbanzo beans (chickpeas)","1.00 patty - approx 2 1/4"" diameter",62.74,0.00,0.00,14.22,0.03,0.03,0.03,0.20,0.09,0.03,12.39,22.49,0.15,2.07,0.31,5.92,9.51,0.05,0.34,5.11,0.16,21.30,27.87,3.63,41.65,0.15,5.97,1.10,4.43,0.67,3.64,8.88,0.84,0.21,1.68,1.88,0.57,0.02,0.03,0.04,0.08,0.13,0.10,0.03,0.09,1.74,0.06,0.02,0.05,0.08
2016-10-21,"Pita bread, white","0.50 extra large - 8 1/2"" diameter",156.75,0.00,0.00,18.30,0.34,0.00,0.19,2.64,0.23,0.02,60.99,0.00,0.00,0.00,0.17,0.11,49.02,0.10,1.49,14.82,0.27,55.29,68.40,15.45,305.52,0.48,31.75,1.25,29.94,0.74,0.68,0.00,0.06,0.01,0.29,0.30,0.09,0.00,0.11,0.11,0.20,0.36,0.12,0.09,0.25,5.19,0.15,0.06,0.15,0.22
2016-10-22,"Tap water","1.00 cup",0.00,0.00,0.00,236.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.11,0.02,0.00,2.37,0.00,0.00,0.00,0.00,9.48,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
