Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-9-28,"Coffee, from vending machine, with sugar and cream","1.00 cup",74.70,0.00,75.41,237.21,0.00,0.00,0.01,0.68,0.00,0.00,0.00,1.88,0.00,0.00,0.09,0.55,9.37,0.01,0.18,9.17,0.05,31.31,131.28,0.39,9.41,0.04,14.03,0.49,0.10,12.21,2.03,0.00,0.06,0.00,0.00,0.00,1.86,0.00,0.01,0.01,0.02,0.04,0.02,0.01,0.02,0.57,0.01,0.00,0.02,0.03
2016-9-28,"Tap water","3.00 cup",0.00,0.00,0.00,710.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.33,0.07,0.00,7.11,0.00,0.00,0.00,0.00,28.44,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-9-28,"Mixed vegetables, tomatoes and lima beans","1.00 cup, cut pieces",146.09,0.00,0.00,201.62,0.96,0.00,0.17,2.05,0.43,0.35,37.42,882.01,27.98,0.00,0.98,9.91,78.86,0.38,3.27,88.42,1.35,154.53,842.52,3.00,179.97,0.96,28.64,8.01,14.01,5.25,0.68,0.00,0.08,0.06,0.24,0.30,0.12,0.00,0.09,0.25,0.47,0.58,0.49,0.08,0.38,7.95,0.35,0.10,0.24,0.45
2016-9-28,"Pumpkin soup","1.00 cup",74.42,0.00,0.00,225.95,0.06,0.07,0.14,0.64,0.39,0.07,12.89,13678.92,4.64,2.45,1.07,16.11,38.94,0.12,1.36,23.63,0.17,47.04,235.77,1.05,815.51,0.30,9.28,2.71,0.26,4.34,3.83,14.45,1.03,0.04,0.09,0.13,2.20,0.12,0.02,0.05,0.09,0.14,0.13,0.03,0.09,2.23,0.08,0.03,0.09,0.10
2016-9-28,"Rice and beans","1.00 cup",365.38,0.00,0.00,150.98,0.42,0.00,0.08,1.97,0.65,0.20,180.75,43.86,1.59,0.00,1.05,25.56,47.56,0.30,3.59,86.24,0.97,193.81,439.71,13.57,471.72,1.68,53.53,9.65,31.30,1.68,11.73,0.00,2.61,0.86,5.73,6.59,1.93,0.06,0.16,0.32,0.52,0.95,0.73,0.20,0.64,12.01,0.48,0.14,0.35,0.64
2016-9-28,"Yogurt, plain, whole milk","1.00 cup",149.45,0.00,0.00,215.36,0.07,0.91,0.35,0.18,0.95,0.08,17.15,242.55,1.23,4.90,0.21,0.51,296.46,0.02,0.12,29.40,0.01,232.75,379.76,5.39,112.70,1.45,11.42,0.00,0.00,11.42,7.96,31.85,2.19,0.07,0.16,0.23,5.14,0.17,0.08,0.21,0.46,0.86,0.76,0.25,0.46,8.50,0.35,0.05,0.43,0.70
2016-9-29,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-9-29,"Tap water","4.00 cup",0.00,0.00,0.00,947.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.44,0.09,0.00,9.48,0.00,0.00,0.00,0.00,37.92,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-9-29,"Pizza, homemade or restaurant, cheese, thin crust","1.00 FDA Serving Size",393.16,0.00,0.00,103.52,0.53,0.97,0.49,3.62,0.70,0.15,103.78,617.56,2.84,8.40,1.14,11.31,415.25,0.14,2.80,34.33,0.43,366.35,256.16,32.92,1102.97,2.51,43.45,2.50,34.40,3.53,15.76,36.14,3.88,0.34,2.72,3.08,7.13,0.41,0.18,0.45,0.89,1.51,0.79,0.41,0.91,19.36,0.76,0.38,0.82,1.05
2016-9-29,"Black bean soup, homemade","1.00 cup",186.33,0.00,0.00,189.74,0.32,0.00,0.11,1.46,0.46,0.26,168.15,422.06,2.38,0.00,0.67,3.44,103.61,0.29,3.32,72.99,0.70,192.88,632.88,3.94,1032.98,1.36,35.27,13.45,18.26,2.91,0.96,0.00,0.24,0.21,0.23,0.66,0.16,0.00,0.10,0.26,0.49,0.87,0.66,0.14,0.59,10.81,0.37,0.13,0.25,0.63
