Day,Exercise,Minutes,Calories Burned
2016-12-11,"jogging, general",40.0,-306.18
2016-12-12,"walking for pleasure",20.0,-63.79
2016-12-12,"stair-treadmill ergometer, general",25.0,-255.15
2016-12-13,"bicycling, stationary, RPM/Spin bike class",32.0,-302.40
2016-12-13,"walking for pleasure",15.0,-47.25
2016-12-14,"walking for pleasure",15.0,-46.86
2016-12-14,"swimming laps, freestyle, front crawl, slow, light or moderate effort",35.0,-209.92
2016-12-15,"walking for pleasure",15.0,-46.66
2016-12-15,"running, 5 mph (12 min/mile)",30.0,-272.49
2016-12-16,"bicycling, stationary, RPM/Spin bike class",30.0,-278.78
2016-12-17,"stair-treadmill ergometer, general",25.0,-249.55
2016-12-17,"walking for pleasure",20.0,-62.39
2016-12-18,"walking for pleasure",10.0,-31.19
2016-12-18,"running, 5 mph (12 min/mile)",35.0,-315.22
2016-12-19,"walking for pleasure",10.0,-31.19
2016-12-19,"stair-treadmill ergometer, general",26.0,-259.53
2016-12-20,"walking for pleasure",15.0,-46.79
2016-12-20,"swimming laps, freestyle, front crawl, slow, light or moderate effort",35.0,-209.62
2016-12-21,"walking for pleasure",10.0,-31.19
2016-12-21,"bicycling, stationary, RPM/Spin bike class",30.0,-280.74
2016-12-22,"hiking or walking at a normal pace through fields and hillsides",120.0,-643.84
2016-12-23,"walking for pleasure",20.0,-62.56
2016-12-23,"automobile or light truck (not a semi) driving",60.0,-112.61
2016-12-25,"walking, to work or class",40.0,-149.73
2016-12-26,"bicycling, stationary, RPM/Spin bike class",30.0,-280.74
2016-12-27,"walking for pleasure",20.0,-62.39
2016-12-27,"swimming laps, freestyle, front crawl, slow, light or moderate effort",35.0,-209.62
2016-12-28,"walking for pleasure",20.0,-62.39
2016-12-28,"stair-treadmill ergometer, general",26.0,-259.53
2016-12-29,"walking for pleasure",15.0,-46.53
2016-12-29,"bicycling, stationary, RPM/Spin bike class",50.0,-465.28
2016-12-30,"walking for pleasure",40.0,-124.08
2016-12-30,"stair-treadmill ergometer, general",26.0,-258.08
2016-12-31,"walking for pleasure",20.0,-61.34
2016-12-31,"running, 5 mph (12 min/mile)",35.0,-313.43
2017-1-1,"walking for pleasure",15.0,-46.00
2017-1-1,"running, 5 mph (12 min/mile)",30.0,-268.66
2017-1-2,"walking for pleasure",10.0,-30.67
2017-1-2,"bicycling, stationary, RPM/Spin bike class",30.0,-276.02
2017-1-3,"walking for pleasure",15.0,-46.46
2017-1-3,"stair-treadmill ergometer, general",26.0,-257.71
2017-1-4,"walking for pleasure",15.0,-46.46
2017-1-4,"stair-treadmill ergometer, general",30.0,-297.36
2017-1-5,"walking for pleasure",15.0,-46.46
2017-1-5,"running, 5 mph (12 min/mile)",30.0,-271.34
2017-1-6,"walking for pleasure",15.0,-46.46
2017-1-6,"bicycling, stationary, RPM/Spin bike class",32.0,-295.26
2017-1-7,"walking for pleasure",45.0,-140.37
2017-1-7,"stair-treadmill ergometer, general",27.0,-269.51
2017-1-8,"walking for pleasure",20.0,-62.04
2017-1-9,"walking for pleasure",20.0,-62.56
2017-1-9,"stair-treadmill ergometer, general",28.0,-280.28
2017-1-10,"walking for pleasure",20.0,-62.04
2017-1-10,"bicycling, stationary, RPM/Spin bike class",45.0,-418.75
2017-1-11,"walking for pleasure",15.0,-46.53
2017-1-11,"swimming, crawl, medium speed, ~50 yards/minute, vigorous effort",26.0,-235.49
2017-1-12,"walking for pleasure",15.0,-46.53
2017-1-12,"bicycling, stationary, RPM/Spin bike class",45.0,-418.75
2017-1-13,"walking for pleasure",10.0,-30.63
2017-1-13,"running, 5 mph (12 min/mile)",35.0,-312.99
2017-1-14,"walking for pleasure",30.0,-93.06
2017-1-15,"running, 5 mph (12 min/mile)",35.0,-315.67
2017-1-16,"walking for pleasure",20.0,-61.25
2017-1-17,"bicycling, stationary, RPM/Spin bike class",40.0,-371.70
2017-1-18,"walking for pleasure",15.0,-46.46
2017-1-18,"swimming laps, freestyle, front crawl, slow, light or moderate effort",45.0,-267.62
2017-1-19,"walking for pleasure",10.0,-30.98
2017-1-19,"bicycling, stationary, RPM/Spin bike class",30.0,-278.78
2017-1-20,"walking for pleasure",30.0,-92.93
2017-1-21,"jogging, general",30.0,-223.02
2017-1-22,"bicycling, stationary, RPM/Spin bike class",30.0,-280.74
2017-1-23,"walking for pleasure",15.0,-46.59
2017-1-26,"walking for pleasure",20.0,-61.78
2017-1-27,"walking for pleasure",20.0,-61.78
2017-1-28,"walking for pleasure",20.0,-61.34
2017-1-30,"walking for pleasure",10.0,-30.93
2017-1-30,"stair-treadmill ergometer, general",25.0,-247.45
2017-1-31,"bicycling, stationary, RPM/Spin bike class",45.0,-416.39
2017-1-31,"walking for pleasure",10.0,-30.84
2017-2-4,"walking for pleasure",30.0,-93.98
2017-2-3,"running, 5 mph (12 min/mile)",30.0,-274.41
2017-2-1,"stair-treadmill ergometer, general",25.0,-250.60
2017-2-2,"swimming laps, freestyle, front crawl, slow, light or moderate effort",35.0,-210.50
2017-2-5,"walking for pleasure",25.0,-78.31
2017-2-5,"bicycling, stationary, RPM/Spin bike class",30.0,-281.92
2017-2-7,"bicycling, stationary, RPM/Spin bike class",45.0,-421.12
2017-2-11,"running, 5 mph (12 min/mile)",30.0,-274.02
2017-2-10,"swimming laps, freestyle, front crawl, slow, light or moderate effort",40.0,-240.24
2017-2-9,"bicycling, stationary, RPM/Spin bike class",30.0,-281.53
