2016-09-25,77.0,0,---,0,---,---,---
2016-12-12,72.0,-363.54,1005.4,-1368.94,-318.94,-880.0,-170.0
2016-12-13,72.0,-389.37,1010.28,-1399.65,-349.65,-880.0,-170.0
2016-12-14,71.4,-361.56,945.22,-1306.78,-256.78,-880.0,-170.0
2016-12-15,71.1,-412.56,956.59,-1369.15,-319.15,-880.0,-170.0
2016-12-16,70.8,-324.28,1004.5,-1328.78,-278.78,-880.0,-170.0
2016-12-17,71.3,-270.25,1091.69,-1361.94,-311.94,-880.0,-170.0
2016-12-18,70.5,-271.63,1124.78,-1396.41,-346.41,-880.0,-170.0
2016-12-19,71.3,-314.44,1026.28,-1340.72,-290.72,-880.0,-170.0
2016-12-20,71.3,-319.39,987.02,-1306.41,-256.41,-880.0,-170.0
2016-12-21,71.3,-394.45,967.48,-1361.93,-311.93,-880.0,-170.0
2016-12-22,71.3,-356.77,1337.07,-1693.84,-643.84,-880.0,-170.0
2016-12-23,72.1,612.98,1838.15,-1225.17,-175.17,-880.0,-170.0
2016-12-24,71.5,403.64,1453.64,-1050,0.0,-880.0,-170.0
2016-12-25,71.3,-273.65,926.08,-1199.73,-149.73,-880.0,-170.0
2016-12-26,71.3,-43.37,1287.37,-1330.74,-280.74,-880.0,-170.0
2016-12-27,71.3,-240.37,1081.64,-1322.01,-272.01,-880.0,-170.0
2016-12-28,71.3,-141.07,1230.85,-1371.92,-321.92,-880.0,-170.0
2016-12-29,70.9,-345.45,1216.36,-1561.81,-511.81,-880.0,-170.0
2016-12-30,70.9,12.1,1444.26,-1432.16,-382.16,-880.0,-170.0
2016-12-31,70.1,-379.26,1045.51,-1424.77,-374.77,-880.0,-170.0
2017-01-01,70.8,-336.18,1028.48,-1364.66,-314.66,-880.0,-170.0
2017-01-02,71.1,-213.93,1142.76,-1356.69,-306.69,-880.0,-170.0
2017-01-03,70.8,-385.35,968.82,-1354.17,-304.17,-880.0,-170.0
2017-01-04,71.4,-283.88,1109.94,-1393.82,-343.82,-880.0,-170.0
2017-01-05,70.8,11.18,1378.98,-1367.8,-317.8,-880.0,-170.0
2017-01-06,70.3,211.37,1603.09,-1391.72,-341.72,-880.0,-170.0
2017-01-07,71.3,-359.27,1100.61,-1459.88,-409.88,-880.0,-170.0
2017-01-08,70.9,171.66,1283.7,-1112.04,-62.04,-880.0,-170.0
2017-01-09,71.5,-359.86,1032.98,-1392.84,-342.84,-880.0,-170.0
2017-01-10,70.9,-262.46,1268.33,-1530.79,-480.79,-880.0,-170.0
2017-01-11,70.9,-79.75,1252.27,-1332.02,-282.02,-880.0,-170.0
2017-01-12,70.9,-175.04,1340.24,-1515.28,-465.28,-880.0,-170.0
2017-01-13,70.0,-312.89,1080.73,-1393.62,-343.62,-880.0,-170.0
2017-01-14,70.9,112.85,1255.91,-1143.06,-93.06,-880.0,-170.0
2017-01-15,70.6,340.71,1706.38,-1365.67,-315.67,-880.0,-170.0
2017-01-16,70.1,-28.13,1083.12,-1111.25,-61.25,-880.0,-170.0
2017-01-17,70.8,-137.67,1284.03,-1421.7,-371.7,-880.0,-170.0
2017-01-18,70.8,-138.04,1226.04,-1364.08,-314.08,-880.0,-170.0
2017-01-19,70.8,-469.66,890.1,-1359.76,-309.76,-880.0,-170.0
2017-01-20,70.8,237.45,1380.38,-1142.93,-92.93,-880.0,-170.0
2017-01-21,71.2,275.62,1548.64,-1273.02,-223.02,-880.0,-170.0
2017-01-22,71.3,-76.89,1253.85,-1330.74,-280.74,-880.0,-170.0
2017-01-23,71.0,-122.78,973.81,-1096.59,-46.59,-880.0,-170.0
2017-01-24,70.1,63.76,1113.76,-1050,0.0,-880.0,-170.0
2017-01-25,70.8,75.49,1125.49,-1050,0.0,-880.0,-170.0
2017-01-26,70.9,-179.39,932.39,-1111.78,-61.78,-880.0,-170.0
2017-01-27,70.6,-68.49,1043.29,-1111.78,-61.78,-880.0,-170.0
2017-01-28,70.1,138.19,1249.53,-1111.34,-61.34,-880.0,-170.0
2017-01-29,71.1,613.1,1663.1,-1050,0.0,-880.0,-170.0
2017-01-30,70.9,-80.27,1248.11,-1328.38,-278.38,-880.0,-170.0
2017-01-31,70.7,-223.61,1273.62,-1497.23,-447.23,-880.0,-170.0
2017-02-01,70.5,-207.07,1093.53,-1300.6,-250.6,-880.0,-170.0
2017-02-02,70.5,-425.32,835.18,-1260.5,-210.5,-880.0,-170.0
2017-02-03,70.9,-402.48,921.93,-1324.41,-274.41,-880.0,-170.0
2017-02-04,70.9,433.67,1577.65,-1143.98,-93.98,-880.0,-170.0
2017-02-05,70.9,-184.71,1225.52,-1410.23,-360.23,-880.0,-170.0
2017-02-06,70.9,162.71,1212.71,-1050,0.0,-880.0,-170.0
2017-02-07,71.3,-498.06,973.06,-1471.12,-421.12,-880.0,-170.0
2017-02-08,70.8,347.14,1397.14,-1050,0.0,-880.0,-170.0
2017-02-09,70.8,-312.78,1018.75,-1331.53,-281.53,-880.0,-170.0
2017-02-10,70.5,-155.66,1134.58,-1290.24,-240.24,-880.0,-170.0
2017-02-11,71.0,-20.6,1303.42,-1324.02,-274.02,-880.0,-170.0
2017-02-12,71.5,0,---,0,---,---,---
